Date,@attributes.createdAt,message,attributes,attributes.indexName,attributes.jobID,@attributes.planID,@attributes.shardID,@attributes.shardType,attributes.appID,Message
"2024-04-10T15:44:03.078Z","""2024-04-10T11:55:52.134979Z""","""oldest pending job is 3h48m10.943358534s""","{""status_category"":""Info"",""level"":""info"",""context"":""jobsqueue/oldest_job.go:139"",""attributes"":{""createdAt"":""2024-04-10T11:55:52.134979Z"",""jobID"":2273721448,""indexName"":""lc_prod_ct_products"",""appID"":""4K4ZN64X03"",""shardID"":""sh-2377524-1"",""planID"":2377524,""shardType"":""keyword""},""timestamp"":""2024-04-10T15:44:03.078358259Z""}","""lc_prod_ct_products""","2273721448","2377524","""sh-2377524-1""","""keyword""","""4K4ZN64X03""","oldest pending job is 3h48m10.943358534s"
"2024-04-10T15:43:03.132Z","""2024-04-10T11:55:52.134979Z""","""oldest pending job is 3h47m10.99712179s""","{""status_category"":""Info"",""level"":""info"",""context"":""jobsqueue/oldest_job.go:139"",""attributes"":{""createdAt"":""2024-04-10T11:55:52.134979Z"",""jobID"":2273721448,""indexName"":""lc_prod_ct_products"",""appID"":""4K4ZN64X03"",""shardID"":""sh-2377524-1"",""planID"":2377524,""shardType"":""keyword""},""timestamp"":""2024-04-10T15:43:03.132118804Z""}","""lc_prod_ct_products""","2273721448","2377524","""sh-2377524-1""","""keyword""","""4K4ZN64X03""","oldest pending job is 3h47m10.99712179s"
"2024-04-10T15:42:03.231Z","""2024-04-10T11:55:52.134979Z""","""oldest pending job is 3h46m11.096255994s""","{""status_category"":""Info"",""level"":""info"",""context"":""jobsqueue/oldest_job.go:139"",""attributes"":{""createdAt"":""2024-04-10T11:55:52.134979Z"",""jobID"":2273721448,""indexName"":""lc_prod_ct_products"",""appID"":""4K4ZN64X03"",""shardID"":""sh-2377527-1"",""planID"":2377527,""shardType"":""keyword""},""timestamp"":""2024-04-10T15:42:03.231262173Z""}","""lc_prod_ct_products""","2273721448","2377527","""sh-2377527-1""","""keyword""","""4K4ZN64X03""","oldest pending job is 3h46m11.096255994s"
"2024-04-10T15:41:03.137Z","""2024-04-10T11:55:52.134979Z""","""oldest pending job is 3h45m11.002333913s""","{""status_category"":""Info"",""level"":""info"",""context"":""jobsqueue/oldest_job.go:139"",""attributes"":{""createdAt"":""2024-04-10T11:55:52.134979Z"",""jobID"":2273721448,""indexName"":""lc_prod_ct_products"",""appID"":""4K4ZN64X03"",""shardID"":""sh-2377524-1"",""planID"":2377524,""shardType"":""keyword""},""timestamp"":""2024-04-10T15:41:03.137333408Z""}","""lc_prod_ct_products""","2273721448","2377524","""sh-2377524-1""","""keyword""","""4K4ZN64X03""","oldest pending job is 3h45m11.002333913s"
"2024-04-10T15:40:03.331Z","""2024-04-10T11:55:52.134979Z""","""oldest pending job is 3h44m11.19650101s""","{""status_category"":""Info"",""level"":""info"",""context"":""jobsqueue/oldest_job.go:139"",""attributes"":{""createdAt"":""2024-04-10T11:55:52.134979Z"",""jobID"":2273721448,""indexName"":""lc_prod_ct_products"",""appID"":""4K4ZN64X03"",""shardID"":""sh-2377524-1"",""planID"":2377524,""shardType"":""keyword""},""timestamp"":""2024-04-10T15:40:03.331503912Z""}","""lc_prod_ct_products""","2273721448","2377524","""sh-2377524-1""","""keyword""","""4K4ZN64X03""","oldest pending job is 3h44m11.19650101s"
"2024-04-10T15:39:03.390Z","""2024-04-10T11:55:52.134979Z""","""oldest pending job is 3h43m11.255267695s""","{""status_category"":""Info"",""level"":""info"",""context"":""jobsqueue/oldest_job.go:139"",""attributes"":{""createdAt"":""2024-04-10T11:55:52.134979Z"",""jobID"":2273721448,""indexName"":""lc_prod_ct_products"",""appID"":""4K4ZN64X03"",""shardID"":""sh-2377524-1"",""planID"":2377524,""shardType"":""keyword""},""timestamp"":""2024-04-10T15:39:03.390267154Z""}","""lc_prod_ct_products""","2273721448","2377524","""sh-2377524-1""","""keyword""","""4K4ZN64X03""","oldest pending job is 3h43m11.255267695s"
"2024-04-10T15:38:02.958Z","""2024-04-10T11:55:52.134979Z""","""oldest pending job is 3h42m10.82388384s""","{""status_category"":""Info"",""level"":""info"",""context"":""jobsqueue/oldest_job.go:139"",""attributes"":{""createdAt"":""2024-04-10T11:55:52.134979Z"",""jobID"":2273721448,""indexName"":""lc_prod_ct_products"",""appID"":""4K4ZN64X03"",""shardID"":""sh-2377524-1"",""planID"":2377524,""shardType"":""keyword""},""timestamp"":""2024-04-10T15:38:02.958877317Z""}","""lc_prod_ct_products""","2273721448","2377524","""sh-2377524-1""","""keyword""","""4K4ZN64X03""","oldest pending job is 3h42m10.82388384s"
"2024-04-10T15:37:03.031Z","""2024-04-10T11:55:02.238591Z""","""oldest pending job is 3h42m0.792444468s""","{""status_category"":""Info"",""level"":""info"",""context"":""jobsqueue/oldest_job.go:139"",""attributes"":{""createdAt"":""2024-04-10T11:55:02.238591Z"",""jobID"":2273684519,""indexName"":""lc_prod_ct_products"",""appID"":""4K4ZN64X03"",""shardID"":""sh-2377523-1"",""planID"":2377523,""shardType"":""keyword""},""timestamp"":""2024-04-10T15:37:03.031057006Z""}","""lc_prod_ct_products""","2273684519","2377523","""sh-2377523-1""","""keyword""","""4K4ZN64X03""","oldest pending job is 3h42m0.792444468s"
"2024-04-10T15:36:03.035Z","""2024-04-10T11:54:35.962961Z""","""oldest pending job is 3h41m27.072437536s""","{""status_category"":""Info"",""level"":""info"",""context"":""jobsqueue/oldest_job.go:139"",""attributes"":{""createdAt"":""2024-04-10T11:54:35.962961Z"",""jobID"":2273663161,""indexName"":""lc_prod_ct_products"",""appID"":""4K4ZN64X03"",""shardID"":""sh-2377536-1"",""planID"":2377536,""shardType"":""keyword""},""timestamp"":""2024-04-10T15:36:03.035414178Z""}","""lc_prod_ct_products""","2273663161","2377536","""sh-2377536-1""","""keyword""","""4K4ZN64X03""","oldest pending job is 3h41m27.072437536s"
"2024-04-10T15:35:03.179Z","""2024-04-10T11:54:35.962961Z""","""oldest pending job is 3h40m27.216213289s""","{""status_category"":""Info"",""level"":""info"",""context"":""jobsqueue/oldest_job.go:139"",""attributes"":{""createdAt"":""2024-04-10T11:54:35.962961Z"",""jobID"":2273663161,""indexName"":""lc_prod_ct_products"",""appID"":""4K4ZN64X03"",""shardID"":""sh-2377536-1"",""planID"":2377536,""shardType"":""keyword""},""timestamp"":""2024-04-10T15:35:03.179194447Z""}","""lc_prod_ct_products""","2273663161","2377536","""sh-2377536-1""","""keyword""","""4K4ZN64X03""","oldest pending job is 3h40m27.216213289s"
